REGION,FUEL,YEAR,VALUE
REGION1,ATE2,2015,294.458
REGION1,ATE2,2016,296.057
REGION1,ATE2,2017,297.656
REGION1,ATE2,2018,299.256
REGION1,ATE2,2019,300.855
REGION1,ATE2,2020,302.454
REGION1,ATE2,2021,303.468
REGION1,ATE2,2022,304.481
<<<<<<< HEAD
REGION1,ATE2,2023,323.018
REGION1,ATE2,2024,341.555
REGION1,ATE2,2025,360.092
REGION1,ATE2,2026,378.629
REGION1,ATE2,2027,397.166
REGION1,ATE2,2028,415.703
REGION1,ATE2,2029,434.24
REGION1,ATE2,2030,452.777
REGION1,ATE2,2031,471.314
REGION1,ATE2,2032,489.851
REGION1,ATE2,2033,508.388
REGION1,ATE2,2034,526.924
REGION1,ATE2,2035,545.461
REGION1,ATE2,2036,563.998
REGION1,ATE2,2037,582.535
REGION1,ATE2,2038,601.072
REGION1,ATE2,2039,619.609
REGION1,ATE2,2040,638.146
REGION1,ATE2,2041,656.683
REGION1,ATE2,2042,675.22
REGION1,ATE2,2043,693.757
REGION1,ATE2,2044,712.294
REGION1,ATE2,2045,730.831
REGION1,ATE2,2046,749.368
REGION1,ATE2,2047,767.905
REGION1,ATE2,2048,786.442
REGION1,ATE2,2049,804.979
REGION1,ATE2,2050,823.516
REGION1,ATE2,2051,842.053
REGION1,ATE2,2052,860.59
REGION1,ATE2,2053,879.127
REGION1,ATE2,2054,897.664
REGION1,ATE2,2055,916.201
REGION1,ATE2,2056,934.738
REGION1,ATE2,2057,953.275
REGION1,ATE2,2058,971.812
REGION1,ATE2,2059,990.349
REGION1,ATE2,2060,1008.886
=======
REGION1,ATE2,2023,337.582664109209
REGION1,ATE2,2024,370.684328218417
REGION1,ATE2,2025,403.785992327626
REGION1,ATE2,2026,436.887656436834
REGION1,ATE2,2027,469.989320546043
REGION1,ATE2,2028,503.090984655251
REGION1,ATE2,2029,536.19264876446
REGION1,ATE2,2030,569.294312873668
REGION1,ATE2,2031,602.395976982877
REGION1,ATE2,2032,635.497641092085
REGION1,ATE2,2033,668.599305201294
REGION1,ATE2,2034,701.700969310503
REGION1,ATE2,2035,734.802633419711
REGION1,ATE2,2036,767.90429752892
